Tag,Agency,Overseas Post or Washington D.C. Office,Country,Project Name,Project Summary,Regional or Specific Knowledge,Technical Skills w/Level,Foreign Languages w/Level,Requirements/Comments
214,USAID,"Education, Economic Growth, Education & Environment (E3/ED)",Washington D.C.,Education Programs Podcasts,"Lead our digital storytelling effort by recording, sharing, and preserving the stories of our work in fifty United States Agency for International Development (USAID) missions worldwide to education and inform education sector staff through pod/vodcasts of one another.","Preferred 
1) Experience coordinating training logistics (inviting guest speakers, arranging travel and accommodations). 
2) Experience with competency-based instruction 
3) Experiencing designing and conducting evaluations using Kirkpatrick Levels 1-4. 
4) Proficiency with Excel, FileMaker Pro, or comparable online database or inventory program. 
5) Experience coordinating workflow. 
6) Experience working in Education. 
7) Portfolio of prior podcasts and/or vodcasts available for review during interview stage. 

In addition to proficiency in the technical skills listed, preferred candidates will also be familiar with Instructional Design. 
",MS Office platform - Int.; Research - Int.; Website design and development - Int.,,"Education: Bachelor's degree in relevant area of Education from an accredited college or university. 

Experience 
1) Exceptional design and writing skills are required. Minimum of two years of experience in instructional design/curriculum development and education is required. 
2) Demonstrated successful application of instructional systems design (ISD) with an emphasis on assessment and evaluation for learning is necessary. 
3) Flexibility and the ability to solicit input from others and receive feedback is essential. 
4) Strong computer skills and proficiency 
5) Skills in design and develop adult learning content. This includes developing needs assessments, instructional materials like participant guides, facilitator’s guides/instructor’s manuals, workshops, self-paced and/or instructor lead online training. 
6) Excellent interpersonal, written/verbal communication, and collaboration skills. 
7) Ability to work with multilingual and culturally diverse stakeholders 
8) Demonstrates initiative and can work autonomously. 
9) Equipment maintenance and inventory 
10) Cultural competence and comfort working with diverse groups of professionals in an inclusive environment. 
"
215,USAID,"Energy and Infrastructure; Economic Growth, Education & Environment (E3/EI/E)",Washington D.C.,Powering Agri: Website/Social Media Development,Develop content for Powering Agriculture: An Energy Grand Challenge for Development of social media and website,Ability to write clearly/summarize content quickly; An energy or agriculture background would be beneficial but is not required,Blogging - Int.; Social media - Int.,,
216,USAID,"Economic Policy; Economic Growth, Education and Environment (E3/EP) ",Washington D.C.,Economic Research Assistance,Identify and prioritize the most important constraints to inclusive growth in partner countries,Knowledge of economic topics and international affairs,MS Office platform - Adv.; Research - Adv.; Website development - Adv.,,
217,USAID,"Economic Policy; Economic Growth, Education & Environment (E3/EP)",Washington D.C.,Economic Policy Office Support,"Provide research, editing, graphics, and communications support to E3's Economic Policy office",Experience with and interest in economics and cost-benefit analysis,Graphic design - Adv.; MS Office platform - Adv.; Research - Adv.; Social media - Adv.; Website design and development - Adv.; Website editing - Adv.,,
218,USAID,"Global Climate Change,  Economic Growth, Education and Environment (E3/GCC)",Washington D.C.,Global Climate Change,Conduct research for the Global Climate Change office at USAID,,Research - Adv.,,
219,USAID,"Economic Growth, Europe and Eurasia (E&E/EG)",Washington D.C.,Digital Communications ,"Research economic growth topics, such as unemployment, social entrepreneurship, innovation ecosystems, and business enabling environment in the Europe and Eurasia region to update and create various materials and design a strategy for using social media to reach unemployed youth",General knowledge in economic growth topics; Research and writing skills; Europe / Eurasia regional knowledge would be helpful,MS Office platform - Adv.; Research - Adv.,,
220,USAID,"Program Office, Europe and Eurasia (E&E/PO/SPA)",Washington D.C.,Mapping Energy Systems,Create Open Source GIS maps of pipelines and electricity grids,,Research - Int.,,Must be familiar with Geographical Information Systems and have access to them to complete the work.  ARCGIS is the most common but any program that can create a shapefile and the associated geodatabase is acceptable.
221,USAID,Development Credit; Economic Growth Agriculture and Trade (EGAT/DC),Washington D.C.,Unlocking Development Finance,"Support project development, risk assessment, and portfolio monitoring of Development Credit Authority (DCA) partial-credit loan guarantees in Africa, with the goal of unlocking local finance for development purposes","Classroom and/or field experience in business administration, international economic development, or African studies;  Financial sector experience;  International work experience;  Interest in a career in international development; Strong analytical and communications skills",,,
222,USAID,Global Health (GH),Washington D.C.,Household Air Pollution Key Data and Training,Identify key data to address health impacts and to produce an interactive training to explain the household air pollution project to new project managers,"Knowledge about how to analyze large datasets and produce appropriate graphs and charts; Creative experience with the development of short training materials, such as the integration of graphics with short text, etc.; Excellent writing skills including grammar and spelling to ensure that the training materials will have a professional appeal",MS Office platform - Int.; Research - Int.,French - Beginner,"The project will be more time-intensive during the first semester.  The data and guidance for the analysis and training projects exist and are ready to start.  Since the projects will be carried out remotely, the ideal candidate would be a good communicator and be able to articulate questions and responses effectively.  The only application of the foreign language is to communicate a few times with West African staff, who speak some English. "
223,USAID,"Center for Accelerating Innovation and Impact, Global Health (GH/AA/CAII)",Washington D.C.,Scaling Up Innovation,Develop audio-visual presentations to support global public health products and technology scaling efforts,,Video - Adv.; Digital film editing software - Int.; Graphic design - Adv.,,"Preferred candidates will have experience in graphic presentations, graphic animation, motion graphic design, kinetic typography, Adobe Creative Suite (or similar), digital video editing, and creative communications."
224,USAID,"Health, Infectious Diseases and Nutrition;  Global Health (GH/HIDN)",Washington D.C.,Behavior Change Evidence Summit,Research and compile a comprehensive literature review of studies and publications on early childhood development to inform the research agenda for the U.S. Government Evidence Summit on Enhancing Child Survival and Development in Lower- and Middle-Income Countries by Achieving Population-Level Behavior Change,"Background in or experience with public health communications, child health, and social and behavior change preferred",MS Office platform - Adv.; Research - Adv.,,
225,USAID," HIV/AIDS, Global Health (GH/OHA)",Washington D.C.,Literature Review: Pediatric Healthcare Products,"Conduct a literature review comparing pediatric HIV antiretroviral therapy (ART) adherence with adherence to drugs for other chronic diseases of childhood (such as asthma, sickle cell disease, diabetes)",Experience conducting literature reviews and/or experience in global health preferred; HIV research experience a plus,Research - Int.,,
226,USAID,HIV/AIDS; Global Health (GH/OHA),Washington D.C.,Human Resources for Health,Compile Human Resources for Health statistics to make them engaging and appealing,Interest in demographic and other data; Ability to do template design with a talent for presenting information in a graphically appealing way; Creative thinker,Graphic design - Adv.; Research - Adv.,,
227,USAID,"Strategic Planning, Evaluation and Reporting; Global Health (GH/OHA/SPER)",Washington D.C.,Monitoring & Evaluation,"Develop of a set of background briefs describing the activities and performance of PEPFAR countries; adapt an assessment report into an article; create data quality checklists; and, write country briefs","Familiarity with sub-Saharan Africa, HIV, and monitoring and evaluation useful",,,Ideal for someone who is self-directed and willing to take the initiative. Not ideal for those who prefer more structured management and guidance. 
228,USAID,Innovation & Development Alliances (IDEA),Washington D.C.,Open Data & Transparency,"Help USAID get information relevant to international development online, accessible, and used by data analysts, policy makers, and social entrepreneurs",Fundamental knowledge of technology in international development (ICT4D) and tech engagement events like hackathons may be needed to be successful in this role,,,Links for more information:  http://www.usaid.gov/developer  http://blog.usaid.gov/2013/05/why-open-data-matters-g-8-and-african-nations-increase-open-data-for-food-security/  http://www.usaid.gov/what-we-do/science-technolog-and-innovation/data-analytics-development
229,USAID,Innovation & Development Alliances (IDEA),Washington D.C.,Research Assistance,Promote peer learning and communication on local capacity development by designing a quarterly newsletter for USAID internal and external audiences.,Strong research and communication skills with an interest and background in overseas development; A background in graphic design is a plus,Graphic design - Int.; MS Office platform - Int.,,
230,USAID,Innovation & Development Alliances (IDEA),Washington D.C.,Research Assistance,Research best practices in local capacity development,Excellent research and communication skills and able to work efficiently and independently,Research - Int.,,"Topics of interest include measuring capacity development outcomes, coalition building, community philanthropy, volunteerism, organizational networking, identifying local organizations/providers/development assets, and other topics that will arise in our day-to-day work. "
231,USAID,Innovation & Development Alliances (IDEA),Washington D.C.,Research Assistance,Research Private Voluntary Organizations in overseas development,Research skills and a keen interest in overseas development work,Research - Adv.,,
232,USAID,Innovation & Development Alliances (IDEA),Washington D.C.,Outreach for Development Innovation Ventures (DIV),Support outreach efforts and develop communications strategies for USAID's Development Innovation Ventures (DIV) programs,Prior experience in the professional work place or graduate student; Excellent writing skills; Attention to detail; Strong web skills; Experience in marketing campaigns through social media; Demonstrated communication skills; Prior experience in graphic design a plus,Blogging - Int.; Graphic design - Adv.; MS Office platform - Adv.; Research - Adv.; Social media - Adv.; Website design and development - Int.; Website editing - Adv.,,"You will have access to a host of career development opportunities, including exposure to experts within the development space, and potential authorship of blogs.  Sense of humor and desire to work on a fast paced, dynamic team is a must."
233,USAID,Innovation & Development Alliances (IDEA),Washington D.C.,Monitoring and Evaluation for Development Innovation Ventures (DIV),Support rigorous testing of promising innovations for development and help scale proven models and technologies,"Must be graduate students or advanced undergraduates with coursework and/or prior professional experience in monitoring and evaluation (including, but not limited to, quantitative impact evaluation)  ",Research - Adv.,,"Candidates must: have excellent writing skills; be highly motivated and eager to apply their experience to problem solving; be comfortable operating in an entrepreneurial, start-up like culture; and have ability to multi-task while working towards a hard deadline."
234,USAID,Innovation & Development Alliances (IDEA),Washington D.C.,Building a Global Human Rights Partnership,Help create the largest global LGBT civil rights initiative in existence,,MS Office platform - Adv.; Research - Adv.; Social media - Adv.,,"It would be GREAT if the student could also create video/podcasts, and could do website design and development although this is not a requirement"
235,USAID,Innovation & Development Alliances (IDEA),Washington D.C.,Development Innovation Ventures (DIV),"Research energy, environments, and sustainability issues for Development Innovation Ventures, which supports a range of organizations, including social businesses, academic institutions, and not-for-profits",Enjoy working in multidisciplinary teams and can take responsibility for their own development within a challenging environment; Demonstrate an understanding of delivering services to bottom of the pyramid customers and technical knowledge of distributed power systems,Research - Adv.,,Development Innovation Ventures (DIV) is a new division within the U.S. Agency for International Development (USAID) that has adopted a venture capital approach for seeking development solutions. DIV invests in highly cost-effective solutions to development challenges. DIV invites applications through a global call for proposals and provides staged funding to first help rigorously test promising solutions and then help scale proven models and technologies. Graduate or advanced undergraduate applicants preferred.
236,USAID,"Mobile Solutions, Innovation & Development Alliance (IDEA)",Washington D.C.,Strengthening International Development through the Use of Mobile Tech,"Research use cases and best practices for the application of mobile technologies for data collection and/or citizen “feedback” in international development projects and develop related reports, recommendations, and communications messages and materials","Understanding of mobile technology including familiarity with wide range of mobile devices (basic phones, feature phones, smart phones, tablets, handheld GPS) and data transfer methods (SMS, packet-data - GPRS/3G/4G, Wi-Fi, other); Interest in international development; Preference for experience with mobiles for development",MS Office platform - Int.; Research - Adv.; Web chat - Int.,,"Computer science, information systems, or other technology-related discipline preferred. Background or coursework in research methods also desired. "
237,USAID,"Strategy and Program, Latin America and Caribbean (LAC/SPO)",Washington D.C.,"Integrating Gender, Technology, and Innovation","Assist the Strategy and Program Office of the Bureau for Latin America and the Caribbean as the Office implements USAID initiatives and policies related to gender, technology, and innovation, and supports field Missions in the region with research and technical assistance","Regional: Latin America and the Caribbean; Subject matter: gender and citizen security (violence, gang, and illicit activity preventions) and/or global climate change",Research - Int.,Spanish - Int.,
238,USAID,Legislative and Public Affairs (LPA),Washington D.C.,Publication Marketing and Outreach,"Help develop a comprehensive digital outreach and marketing strategy for FrontLines, USAID's magazine","Foreign policy and/or international development, marketing and research are desired, though not necessarily required  ",MS Office platform - Int.; Research - Int.; Social media - Adv.,,
239,USAID,Legislative and Public Affairs (LPA/PL),Washington D.C.,Communications Strategy,"Help facilitate weekly calendar and strategic planning updates for the Bureau of Public Affairs at USAID including help with digital, press, legislative, and public outreach around USAID top priority issues and campaigns","Basic knowledge of communications planning, press pitching, digital media, graphic design, and outreach",Blogging - Adv.; Graphic design - Int.; Photography - Int.; Social media - Adv.; Website design and development - Int.,,
240,USAID,Legislative and Public Affairs (LPA/PL),Washington D.C.,Digital Communication Outreach,"Identify current media and social media trends relevant to the USAID mission, recommend content around current USAID priorities and themes for the web and social media, write content for USAID websites, and contribute to the USAID Flickr account",Degree in communication/journalism/media relations or related field with a strong interest in traditional media and digital marketing; Understanding of web and social media analytics; Creative thinker; Demonstrated ability to work to a deadline and in a fast-paced environment; Ability to work alone as well as part of a team; Languages are a plus!,Blogging - Int.; Video - Int.; Digital film editing software - Int.; Graphic design - Int.; MS Office platform - Int.; Research - Adv.; Social media - Adv.; Website design and development - Int.,,
241,USAID,Management (M),Washington D.C.,Communication Strategy,"Integrate internal and external communication for the Bureau for Management (the central operating unit of USAID) by developing communication plans, copywriting and editing websites, branding, planning events, and other activities",Innovators wanted,Blogging - Int.; Video - Int.; Digital camera - Int.; Digital film editing software - Int.; Graphic design - Int.; MS Office platform - Int.; Photography - Int.; Research - Int.; Social media - Int.; Video recorder - Int.; Web chat - Int.; Webcam - Int.; Website design and development - Int.,,"This Bureau for Management provides core oversight and management controls for development assistance, including  information technology, finance and budgeting, travel and transportation, acquisition and assistance, and operational policy."
242,USAID,"Acquisition and Assistance, Management (M/OAA) ",Washington D.C.,USAID Social Media Strategy,"Develop a social media toolkit, strategic plan and education campaign to support an expert community of practice amongst USAID’s cadre of contracting/agreement officer representatives (COR) ","Knowledge of basic communication principles and techniques; Knowledge of methods of social media engagement; Knowledge of tools for engagement amongst a large audience; Experience participating in and communicating through social media, including webinars, seminars, conferences, or public education campaigns",Research - Int.; Social media - Int.,,"The ideal candidate should be innovative, a strong communicator, and have great initiative to assist with this project.  "
243,USAID,"Acquisition and Assistance, Management (M/OAA) ",Washington D.C.,Acquisitions & Assistance Policy Tracking and Implementation,Develop an innovative tracking and implementation to assist USAID in tracking and implementing policy changes that affect its acquisition and assistance procedures and training courses,Knowledge of public policy and tools to easily present and display large amounts of complex information,Research - Int.,,"The ideal candidate should be detail-oriented, able to interpret complex policy, and have the ability to work independently with great initiative.  "
244,USAID,"Chief Information, Management (M/CIO/IA)",Washington D.C.,Implementation of Strong Authentication,Build awareness and help in implementation of strong logical access using two factor authentication with a Personal Identity Verification (PIV) Card in accordance with HSPD-12,"Intermediate to advanced language skills required in at least one of the following:  Arabic, Farsi, French, Spanish, Tagalog, Thai",Blogging - Int.; Video - Adv.; MS Office platform - Adv.; Web chat - Int.; Website editing - Int.,See Regional or Specific Knowledge,The ideal candidate is creative and can articulate his/her vision via blogs and web site redesign. 
245,USAID,Afghanistan and Pakistan Affairs (OAPA),Washington D.C.,Data Visualization Development,Work with USAID staff to improve the functionality of project management system by incorporating advanced data visualization and mapping,"Strong JavaScript skills required since focus is on front-end development; Database and backend skills not required; Experience using libraries and formats such as D3, GeoJSON, Google Maps API, KML, Timeline.js, Knockout.js and Jquery",Graphic design - Adv.; Website design and development - Adv.,," Contributions to open source projects can be a part of the internship, and if new open source projects come out of it, that’s even better. If you are inspired by the work of Mike Bostock or Jeremy Ashkenas, we’d like to talk. Hopefully you’ll be able to get some real-world experience and learn some marketable technical skills, while contributing to the work of USAID.  Please be prepared to provide samples of your work. "
246,USAID,Afghanistan and Pakistan Affairs (OAPA),Washington D.C.,Digital Content - Mobile Money,"Assist Afghanistan's mobile money industry association with website design and maintenance, and the production of digital products such as maps to track agent network growth and transactions, logo design, and electronic newsletters and media kits","Necessary skills include web design, graphic design experience, writing and editing skills, and experience with data management;  Prior knowledge of Afghanistan and the mobile technology sector useful but not necessary; Knowledge of Dari or Pashto beneficial; Mapping and GIS experience important",Graphic design - Adv.; MS Office platform - Int.; Website design and development - Adv.,See Regional or Specific Knowledge,The selected eIntern will work closely with the Association of Mobile Money Operators in Afghanistan (AMMOA) to determine workload priorities as well as the mobile money coordinator in Washington who will be supervising the eIntern.
247,USAID,U.S. Foreign Disaster Assistance (OFDA),Washington D.C.,DoD Humanitarian and Development Projects in Iraq and Afghanistan,"Assist the Joint Humanitarian Operations Course’s (JHOC) Military Liaison Team to track and research US military projects in Iraq and Afghanistan, with a focus on how they were requested, tasked, and developed, and how they were eventually transitioned (if at all) to host nation or civilian organizations as US forces were drawn down",,Research - Adv.,,
248,USAID,U.S. Foreign Disaster Assistance (OFDA),Washington D.C.,Humanitarian Assistance in Asia,"Research the changing nature of humanitarian response for international assistance after an emergency in Asia and specifically into how the USG, including DoD, are adapting to this new focus on technical exchange",,Research - Adv.,,
249,USAID,U.S. Foreign Disaster Assistance (OFDA),Washington D.C.,Response to Scotland/Ireland Famine in 1847,"Describe the context of the debate around the provision of famine relief to Scotland and Ireland in 1847 and the impact that the decision had, both legislatively and in terms of broader public reaction",,Research - Adv.,,
250,USAID,U.S. Foreign Disaster Assistance (OFDA),Washington D.C.,Pre-1961 USG Foreign Assistance Appropriations,Research the provision of US Government foreign assistance by describing/listing attempts and foreign aid appropriations from 1776 through 1961,,Research - Adv.,,
251,USAID,U.S. Foreign Disaster Assistance (OFDA),Washington D.C.,U.S. Search and Rescue Post 1985,"Research and write the history of US urban search-and-rescue teams since 1985, including how missions have changed and grown over the past 30 years",,Research - Adv.,,
252,USAID,U.S. Foreign Disaster Assistance (OFDA),Washington D.C.,Civil-military Training Courses,"Research other institutions, governments, and entities that conduct civil-military training for humanitarian response; identify the enrollment processes; and, provide a summary and analysis of the training",,Research - Adv.,,
253,USAID,U.S. Foreign Disaster Assistance (OFDA),Washington D.C.,DARPA Projects,Become an expert at the Defense Advanced Research Project Agency (DARPA) (one of the major generators of technologies that find widespread commercial usage) focusing on how project proposals get accepted by DARPA including what is the lifecycle of a DARPA program and the measurement of success,,Research - Adv.,,
254,USAID,U.S. Foreign Disaster Assistance (OFDA),Washington D.C.,Buffer Zones,"Research the history and usage of buffer zones in humanitarian emergencies, including from both academic and operational perspectives as these become increasingly a part of the policy discussions concerning humanitarian responses in complex environments",,Research - Adv.,,
255,USAID,Human Resources (OHR),Washington D.C.,Graphic Design,"Be a part of the Customer Service Initiative project and general communications and marketing for Office of Human Resources internally with the Agency workforce by designing graphics for a website, posters, pamphlets, flyers, and various marketing materials as needed","Experience with photo/graphics editing tools such as Adobe Photoshop, Macromedia Fireworks; Required to have a computer and access to the graphic designing  tool(s); Marketing, branding and communications skills desired; Must be organized and detail oriented; Must be able to work independently as well as with a team; At times, must be able to take projects and creatively run with them; and at others, take specific direction  ",Digital camera - Adv.; Digital film editing software - Adv.; Graphic design - Adv.; MS Office platform - Int.; Photography - Adv.,,Positive & energetic attitude! We look forward to getting to know you!  
256,USAID,Science and Technology (OST),Washington D.C.,Higher Education Solutions Network,Help connect campuses around the world as a part of the Higher Education Solutions Network at USAID,,Blogging - Int.; Video - Int.; Digital camera - Int.; Digital film editing software - Int.; Graphic design - Int.; MS Office platform - Int.; Photography - Int.; Research - Int.; Social media - Int.; Web chat - Int.; Website design and development - Int.,,
257,USAID,Science and Technology (OST),Washington D.C.,Science and Technology Research,"Identify, obtain, clean, and collate a variety of data sources to aid in monitoring, evaluation, and assessment for USAID's Office of Science and Technology to establish a research capacity at various scales",Knowledge of federal statistics and datasets; Knowledge and familiarity with programming languages a plus   ,,,"The ideal candidate will have experience merging, cleaning, and collating datasets from a variety of federal and non-federal (private) sources such as from the OECD, the National Indicators, etc.  "
258,USAID,Science and Technology (OST),Washington D.C.,Water Innovation,Help source and select water innovations from around the world to reduce water scarcity ,"Background/experience in development issues, science and technology, entrepreneurship, and business and financing strategies desirable, but not mandatory; Ability to communicate technical and non-technical information clearly to scientists and engineers and to non-technical people;  Ability to work with minimal supervision",MS Office platform - Int.; Website design and development - Int.,,"The Grand Challenges for Development team aims to transform USAID into a global leader by pioneering and scaling evidence-driven products and approaches.  We work to source, select, incubate, and scale transformative products and processes to improve the efficacy of development practices."
259,USAID,Afghanistan and Pakistan Affairs  (OAPA),Washington D.C.,Economic Research for Afghanistan and Pakistan,Provide research support on economic topics related to international development in Afghanistan and Pakistan,"South Asia, Afghanistan, Pakistan, or conflict-affected countries",,,Quantitative and statistical skills and knowledge helpful 
260,USAID,Science & Technology (OST),Washington D.C.,Big Data for International Development,"Support the development of new ways to use data from satellite imagery, field-based sensors, and social media to help meet the needs of the world's poor",Familiarity with developing countries desirable;  Background in data analysis (e.g. in computer science or other heavily computational fields) desirable,MS Office platform - Int.; Research - Int.; Research - Adv.,,
261,USAID,"Learning, Evaluation and Research; Policy, Planning and Learning (PPL/LER)",Washington D.C.,Evaluator Interviews,"Review publicly available evaluation reports accessible through the Development Experience Clearinghouse (DEC, http://dec.usaid.gov) to identify recent reports in which USAID staff have participated in an evaluation led by an external evaluator and interview the firm and lead evaluator for feedback",Ability to conduct interviews and  keep well organized notes; Familiarity with qualitative social science methodologies and evaluation methodologies a plus ,MS Office platform - Int.,,
262,USAID,"Learning, Evaluation and Research; Policy, Planning and Learning (PPL/LER)",Washington D.C.,Project and Program Evaluation,Review and provide basic summary information in a spreadsheet format about each of the USAID evaluations completed in fiscal year 2013 and publicly available on the Development Experience Clearinghouse (DEC) at http://dec.usaid.gov,"Ability to use MS Excel; Experience with statistical software, such as SPSS, Stata, or SAS a plus; Familiarity with research techniques in social science evaluations a plus  ",MS Office platform - Int.,,
263,USAID,"Policy; Policy, Planning, and Learning (PPL/P)",Washington D.C.,Gender Equality and Women's Empowerment Outreach and Development Policy,"Research, formulate, draft, and edit U.S. development policy and outreach to address our most pressing international challenges",,Blogging - Beginner; MS Office platform - Adv.; Research - Adv.,,
264,USAID,"Policy, Planning and Learning (PPL/P)",Washington D.C.,Inter-Agency Processes Policy,Develop strategic plans and policy recommendations based on analysis and coordination to address USAID's internal and external policy requirements.,,MS Office platform - Int.; Research - Beginner,,
265,USAID,"Policy; Policy, Planning and Learning (PPL/P)",Washington D.C.,International Development Policy Formulation,"Support research, formulation, drafting, and editing of important U.S. development policies",,Blogging - Int.; MS Office platform - Adv.; Research - Adv.; Social media - Int.; Web chat - Int.; Website design and development - Beginner; Website editing - Int.,,
266,AFSA,American Foreign Service Association,Washington D.C.,Advocacy Department,"Assist the American Foreign Service Association (AFSA) on multiple projects including virtual advocacy, legislative issues, research, and drafting","Experience in any of the following areas: legislation, advocacy grassroots, community outreach, stakeholder engagement, communications, social media, and special events; Law students encouraged to apply",Research - Int.; Social media - Int.; Web chat - Int.,,
267,BBG,Strategy and Development ,Washington D.C.,Development Strategy and Program Management,Produce content for BBG.gov website; Support monitoring and evaluation of current programs; Research potential new funders and media partners,"Interest in Africa, Southeast Asia, Latin America, the Middle East and Central and Eastern Europe. ",Research - Int.; Website design and development - Beginner,,
268,Ed,Federal Student Aid,Washington D.C.,Multimedia Digital Engagement,Support digital engagement efforts to raise awareness about higher education access resources,Working knowledge of social media and strong written and oral communication skills; Good organizational and time-management skills (able to meet deadlines),Advanced level in video/podcasts; Film editing; Graphic design; Photography; Social/new media;  Webcam,,"Experience with Vine, infographics, video editing software  "
269,Ed,Federal Student Aid,Washington D.C.,Digital Engagement Monitoring,Manage (i.e. create and curate) digital engagement content to raise awareness about higher education access resources,Working knowledge of social media and strong written and oral communication skills; Good organizational and time-management skills (able to meet deadlines),Advanced level in Blogging; Video; MS Office platform; Website design and development; Film editing; Graphic design; Photography; Social/new media;  Webcam ,,"Experience creating infographics; Pinterest, Vine, Google+, Instagram, Yammer, Pheed, Infogram, Visually  "
270,Ed,Federal Student Aid,Washington D.C.,Digital Engagement Management,Manage (i.e. create and curate) content for digital engagement to support efforts to raise awareness about higher education access resources,Working knowledge of social media; Strong written and oral communication skills  ,Blogging - Adv.; MS Office platform - Int.; Research - Adv.; Social media - Adv.; Webcam - Adv.,,Experience creating infographics and visual aids 
271,Ed,Federal Student Aid,Washington D.C.,Digital Engagement Analysis,Support analysis and management (i.e. creation and curation) of content for digital engagement efforts to raise awareness about higher education access resources,Working knowledge of social media; Strong written and oral communication skills  ,Blogging - Adv.; MS Office platform - Int.; Research - Adv.; Social media - Adv.; Webcam - Adv.,,"Experience creating infographics, visual aids, and using analytics"
272,Ed,Federal Student Aid,Washington D.C.,Database Developer Survey Analysis,Develop customer resources information database to better inform awareness and outreach efforts by the Customer Experience group,Working knowledge of database development; Strong working knowledge of Microsoft Access; Strong written and oral communication skills; Detail-oriented and innovative; Able to excel in independent projects; Good organizational and time-management skills (sometimes working tight deadlines)  ,MS Office platform - Int.; Webcam - Adv.; Website design and development - Adv.,,
273,Ed ,Federal Student Aid,Washington D.C.,Editor - Content Development ,"Draft, review, and revise informational materials about federal student aid programs, eligibility criteria, and the application and repayment processes","Strong writing skills and organizational skills; Knowledge of MS Word, MS Excel and PowerPoint; Graduate students preferred (undergraduate students also welcome to apply); Writing samples will be requested",Blogging - Adv.; MS Office platform - Int.; Research - Adv.; Webcam - Int.,,"Experience with the Federal Student Aid programs, e.g., having received student loans is a plus"
274,Interior,Intergovernmental Affairs & External Affairs,Washington D.C.,Community Engagement Research Assistant,Develop a model the Department of the Interior can utilize for community engagement and outreach across the United States with an emphasis on underrepresented communities,Ability to display and visualize information in new and interesting ways a plus,Research - Int.,,
275,Interior,Youth Partnerships and Service,Washington D.C.,Marketing Materials,"Develop marketing, communications, and information materials related to youth engagement, education, and employment programs","Strong written communication, task management, and some technical multimedia, marketing, and design skills",Digital film editing software - Int.; Graphic design - Int.; MS Office platform - Int.; Photography - Adv.; Social media - Adv.; Website design and development - Int.,,"Able to work independently with minimal supervision and oversight.  Strong preference will be given to volunteers with stellar graphic and multimedia experience, skills, and access to software/tools. "
276,Smithsonian,International Relations,Washington D.C.,Smithsonian International Relations,Inspire foreign audiences to get excited about learning using resources from the Smithsonian Institution,"No special knowledge required, only the desire to learn some special knowledge",Blogging - Adv.; Research - Adv.; Social media - Adv.; Website design and development - Int.,,The opportunity is particularly suitable to student who is interested in learning about cultural diplomacy and international museum relations.
